ID,NOM,Fabricante,Coord Y,Coord X,Coord X Y,LAT,LONG
2,Egea,Fundición Benito,4572858,416490,"(416490, 4572858)",41.30285877754367,2.0024599979385562
3,Egea,Fundición Benito,4572779,416789,"(416789, 4572779)",41.30217816487434,2.006041888289893
4,Egea,Fundición Benito,4573553,416465,"(416465, 4573553)",41.309115630495015,2.002065971748197
5,Egea,Fundición Benito,4572899,416992,"(416992, 4572899)",41.303279845175375,2.0084500091188087
6,Barcino,Fundición Benito,4573193,417232,"(417232, 4573193)",41.3059523890381,2.011276455511726
7,Egea,Fundición Benito,4573386,416454,"(416454, 4573386)",41.30761042482003,2.0019575205750657
8,Diseny propi,,4573313,416482,"(416482, 4573313)",41.30695585792454,2.0023019839346032
9,Egea,Fundición Benito,4573098,416074,"(416074, 4573098)",41.30497714246306,1.9974584315249726
11,Diseny propi,,4573118,416737,"(416737, 4573118)",41.30522597066337,2.005374440096466
12,Barcino,Fundición Benito,4573321,415875,"(415875, 4573321)",41.30696483641653,1.9950507790648282
13,Egea,Fundición Benito,4573682,415895,"(415895, 4573682)",41.31021822036078,1.9952397429235895
14,Diseny propi,,4572930,416160,"(416160, 4572930)",41.30347301223408,1.9985087503608177
15,Capilla,Fundición Colomer,4572798,416018,"(416018, 4572798)",41.30226940105884,1.9968309923279077
16,Egea,Fundición Benito,4572572,416570,"(416570, 4572572)",41.30029122364693,2.0034546886116824
17,Egea,Fundición Benito,4572671,416567,"(416567, 4572671)",41.301182547219035,2.0034052847870685
18,Egea,Fundición Benito,4572701,416854,"(416854, 4572701)",41.30148236607879,2.0068288627803628
19,Georgina,Fundición Colomer,4573695,416292,"(416292, 4573695)",41.310376601553855,1.9999800193895492
20,Egea,Fundición Benito,4573689,416118,"(416118, 4573689)",41.3103044867843,1.9979024554978588
21,By Pass,Urbes 21,4573293,416700,"(416700, 4573293)",41.30679827062543,2.0049085529320894
22,Egea,Fundición Benito,4573333,416680,"(416680, 4573333)",41.30715646096121,2.0046641908437315
24,Diseny propi,,4573978,415200,"(415200, 4573978)",41.31281132853289,1.98689689046308
25,Barcino doble,Fundición Benito,4572812,413616,"(413616, 4572812)",41.30214188991644,1.9681413976008628
26,Atlas Galdana,Fundición Benito,4572819,415524,"(415524, 4572819)",41.30240696284594,1.990928097536933
27,Atlas Galdana,Fundición Benito,4572841,415618,"(415618, 4572841)",41.30261493956297,1.9920477164322608
28,Atlas Galdana,Fundición Benito,4572840,415880,"(415880, 4572840)",41.30263329258378,1.995177011516836
29,Atlas Galdana,Fundición Benito,4572833,415876,"(415876, 4572833)",41.302569830890086,1.9951302059893963
30,Diseny propi,,4573401,416219,"(416219, 4573401)",41.307721147458565,1.9991485489319163
31,Barcino,Fundición Benito,4573308,416652,"(416652, 4573308)",41.30692840855916,2.0043331785147216
32,Egea,Fundición Benito,4571520,417503,"(417503, 4571520)",41.29091238061732,2.0147400900640995
33,Minus B06,Fundición Fabregas,4570630,417775,"(417775, 4570630)",41.28292438350371,2.0181083092910352
34,Minus B06,Fundición Fabregas,4569813,417905,"(417905, 4569813)",41.27557931878507,2.0197706012978616
35,Atlas Galdana,Fundición Benito,4568819,417617,"(417617, 4568819)",41.26659754544508,2.0164666949288677
36,Barcino,Fundición Benito,4574212,413013,"(413013, 4574212)",41.31468588227461,1.9607394593703051
38,Minus B06,Fundición Fabregas,4572472,416675,"(416675, 4572472)",41.29940143306627,2.004722393069208
39,Egea,Fundición Benito,4568862,417901,"(417901, 4568862)",41.26701373779352,2.019850974069085
40,Atlantida,Santa_Cole,4573282,416910,"(416910, 4573282)",41.30672085781288,2.0074183281167395
41,Atlantida,Santa_Cole,4573637,416624,"(416624, 4573637)",41.309888617798414,2.003953642413684
42,Egea,Fundición Benito,4572483,415976,"(415976, 4572483)",41.29942801777786,1.9963728732894888
43,By Pass,Urbes 21,4568999,418989,"(418989, 4568999)",41.26835747550662,2.0328202011796686
44,Atlas Galdana,Fundición Fabregas,4574297,413592,"(413592, 4574297)",41.315513660010616,1.967643791482491
45,By Pass,Urbes 21,4568731,417470,"(417470, 4568731)",41.265789969947036,2.014723892214469
46,By Pass,Urbes 21,4568697,416656,"(416656, 4568697)",41.26540018157782,2.0050120810106073
47,Atlas Galdana,Fundición Benito,4572911,416549,"(416549, 4572911)",41.30334222140106,2.0031573900479143
48,Atlas Galdana,Fundición Benito,4573910,415732,"(415732, 4573910)",41.31225465706164,1.993261158433455
49,Atlas Galdana,Fundición Fabregas,4573858,415688,"(415688, 4573858)",41.311781728237484,1.9927427834937752
50,Atlas Galdana,Fundición Benito,4572767,415657,"(415657, 4572767)",41.3019525462023,1.992523765075683
51,By Pass,Urbes 21,4568965,418818,"(418818, 4568965)",41.268034085993,2.030783462881756
52,By Pass,Urbes 21,4569197,419805,"(419805, 4569197)",41.270222197890504,2.0425349541728237
53,Egea,Fundición Benito,4573261,415951,"(415951, 4573261)",41.30643237617049,1.9959668246020859
