X,Y,objectid,id,capacitat,residu,nom_barri,adress,streetview,globalid
418221.9401,4573913.8815,1,1278,2400,Vidre,Grup Sant Jordi,"Carretera de la Vila    , 23","http://maps.google.com/maps?layer=c&cbll=41.312630,2.023086&cbp=12,242.85,,0,-2",{2F3A25EE-B4CA-428B-9EF7-D1241BB0BB7C}
418223.056,4573911.9277,2,1279,3200,Envasos,Grup Sant Jordi,"Carretera de la Vila    , 23","http://maps.google.com/maps?layer=c&cbll=41.312630,2.023086&cbp=12,242.85,,0,-2",{EE747F5C-46D0-405E-994B-C355001F02DE}
418224.9058,4573908.6888,3,1280,3200,Rebuig,Grup Sant Jordi,"Carretera de la Vila    , 23","http://maps.google.com/maps?layer=c&cbll=41.312630,2.023086&cbp=12,242.85,,0,-2",{00D374B2-815B-4CD0-892A-3709AE55B62E}
418161.2008,4574022.2661,4,1283,3200,Cartró,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{166A1FC4-B59D-49C1-80F7-FEEE1635EDB8}
418156.8185,4574030.1274,5,1284,3200,Rebuig,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{50BDE05D-8A93-4A37-81CE-8735358E30DE}
418160.1487,4574024.256,6,1285,2400,Vidre,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{5AA48171-840A-4950-A74D-E6413A03132B}
418159.0386,4574026.2132,7,1286,3200,Envasos,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{69A2382B-0ABD-46B2-9CF0-8E0F5EBB54F5}
418156.1262,4574031.4594,8,1287,1800,Orgànic,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{463064B3-EBBE-4896-BCBC-F594DF0214CB}
418157.9285,4574028.1703,9,1288,3200,Rebuig,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{D615B319-8181-47BC-B33F-3A0BA4A4F98A}
418162.3108,4574020.309,10,1289,3200,Cartró,Grup Sant Jordi,"Carretera de la Vila    , 21","http://maps.google.com/maps?layer=c&cbll=41.313194,2.022645&cbp=12,242.85,,0,-2",{F5D65B2F-332E-45F7-AF7A-1722A354E195}
418222.8369,4574204.6433,11,1290,3200,Cartró,Grup Sant Jordi,"Avinguda dels Germans Gabrielistes, 10","http://maps.google.com/maps?layer=c&cbll=41.315105,2.022920&cbp=12,242.85,,0,-2",{8E7AD761-62DC-4794-99D5-E3F7F5BC4B78}
418228.9025,4574196.0967,12,1291,3200,Rebuig,Grup Sant Jordi,"Avinguda dels Germans Gabrielistes, 10","http://maps.google.com/maps?layer=c&cbll=41.315105,2.022920&cbp=12,242.85,,0,-2",{A7E88561-53CF-4749-83BF-6B68ACB9644C}
