ID,NOM,Fabricante,Coord X,Coord Y,Coord X Y,LAT,LONG
49,Neoromántico liviano de Santa_Cole,Santa_Cole,415780,4573225,"(415780, 4573225)",41.30609031257552,1.9939293773732527
50,Neoromántico liviano de Santa_Cole,Santa_Cole,415781,4573222,"(415781, 4573222)",41.30606339787236,1.993941736701761
51,Neoromántico liviano de Santa_Cole,Santa_Cole,415782,4573218,"(415782, 4573218)",41.3060274768002,1.9939542344676242
52,Neoromántico liviano de Santa_Cole,Santa_Cole,415789,4573196,"(415789, 4573196)",41.3058300674547,1.994040887826562
53,Neoromántico liviano de Santa_Cole,Santa_Cole,415791,4573192,"(415791, 4573192)",41.30579425075452,1.9940653294169954
54,Neoromántico liviano de Santa_Cole,Santa_Cole,415795,4573177,"(415795, 4573177)",41.305659572758216,1.9941151814845135
55,Neoromántico liviano de Santa_Cole,Santa_Cole,415794,4573179,"(415794, 4573179)",41.305677481115175,1.9941029607320993
56,Neoromántico liviano de Santa_Cole,Santa_Cole,415796,4573174,"(415796, 4573174)",41.30563265803132,1.9941275406521144
57,Neoromántico liviano de Santa_Cole,Santa_Cole,415807,4573143,"(415807, 4573143)",41.30535460867072,1.994263214008264
58,Neoromántico liviano de Santa_Cole,Santa_Cole,415809,4573136,"(415809, 4573136)",41.30529177280855,1.9942880704899801
59,Neoromántico liviano de Santa_Cole,Santa_Cole,415809,4573139,"(415809, 4573139)",41.305318791916996,1.9942876552951876
60,Neoromántico liviano de Santa_Cole,Santa_Cole,415819,4573112,"(415819, 4573112)",41.30507666347179,1.9944108299873553
61,Neoromántico liviano de Santa_Cole,Santa_Cole,415821,4573105,"(415821, 4573105)",41.305013827571926,1.9944356862170747
62,Neoromántico liviano de Santa_Cole,Santa_Cole,415820,4573109,"(415820, 4573109)",41.305049748707816,1.9944231889191257
63,Neoromántico liviano de Santa_Cole,Santa_Cole,415833,4573071,"(415833, 4573071)",41.304708863004855,1.9945837157347506
64,Neoromántico liviano de Santa_Cole,Santa_Cole,415834,4573068,"(415834, 4573068)",41.304681948219034,1.9945960745233111
65,Neoromántico liviano de Santa_Cole,Santa_Cole,415847,4573032,"(415847, 4573032)",41.30435907497752,1.994756322844524
66,Neoromántico liviano de Santa_Cole,Santa_Cole,415850,4573025,"(415850, 4573025)",41.30429634329516,1.9947931221129493
67,Neoromántico liviano de Santa_Cole,Santa_Cole,415848,4573028,"(415848, 4573028)",41.304323153797625,1.9947688198208837
68,Neoromántico liviano de Santa_Cole,Santa_Cole,415863,4572993,"(415863, 4572993)",41.30400949522971,1.9949528152839664
69,Neoromántico liviano de Santa_Cole,Santa_Cole,415865,4572989,"(415865, 4572989)",41.30397367831129,1.9949772556793586
70,Neoromántico liviano de Santa_Cole,Santa_Cole,415884,4572953,"(415884, 4572953)",41.30365143005067,1.995209161560233
71,Neoromántico liviano de Santa_Cole,Santa_Cole,415886,4572951,"(415886, 4572951)",41.30363362582199,1.9952333251588223
72,Neoromántico liviano de Santa_Cole,Santa_Cole,415887,4572949,"(415887, 4572949)",41.30361571733089,1.9952455452115003
73,Neoromántico liviano de Santa_Cole,Santa_Cole,415897,4572936,"(415897, 4572936)",41.3034996769688,1.9953667776807893
74,Neoromántico liviano de Santa_Cole,Santa_Cole,415899,4572933,"(415899, 4572933)",41.303472866330026,1.995391079417902
75,Neoromántico liviano de Santa_Cole,Santa_Cole,415901,4572930,"(415901, 4572930)",41.3034460556858,1.9954153811349866
