ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
2,Circular txapa pintada gris 60 L.,415850,4573893,"(415850, 4573893)",41.31211386912397,1.9946730333573321
3,Semicircular  txapa pintada gris 40 L.,415723,4573922,"(415723, 4573922)",41.31236179294297,1.993151989454845
4,Semicircular  txapa pintada gris 40 L.,415559,4573998,"(415559, 4573998)",41.313029121978744,1.991182436995352
5,Semicircular  txapa pintada gris 40 L.,415507,4574041,"(415507, 4574041)",41.31341094887927,1.9905553099655553
6,Semicircular  txapa pintada gris 40 L.,415438,4574089,"(415438, 4574089)",41.31383602167475,1.989724409009956
7,Circular acer inox. 60 L.,415187,4573990,"(415187, 4573990)",41.31291803760933,1.9867399294399377
8,Circular acer inox. 60 L.,415201,4573980,"(415201, 4573980)",41.31282944634967,1.986908556742472
9,Circular acer inox. 60 L.,415332,4574039,"(415332, 4574039)",41.31337458341786,1.9884651613501725
10,Semicircular acer inox. 40 L.,415354,4573971,"(415354, 4573971)",41.31276446146049,1.988737423362859
11,Circular txapa pintada gris 60 L.,415426,4574025,"(415426, 4574025)",41.31325835738049,1.9895899659581868
12,Circular txapa pintada gris 60 L.,415435,4574018,"(415435, 4574018)",41.31319625670003,1.989698446886615
13,Circular txapa pintada gris 60 L.,415431,4574014,"(415431, 4574014)",41.31315981190078,1.989651222142761
14,Circular txapa pintada gris 60 L.,415407,4574050,"(415407, 4574050)",41.31348152331154,1.9893595279163703
15,Circular txapa pintada gris 60 L.,415449,4573994,"(415449, 4573994)",41.3129815722411,1.9898690176139013
16,Circular txapa pintada gris 60 L.,415481,4573970,"(415481, 4573970)",41.312768774009825,1.9902546005300865
17,Circular txapa pintada gris 60 L.,415486,4573974,"(415486, 4573974)",41.31280532335356,1.99031377052885
18,Circular txapa pintada gris 60 L.,415551,4573939,"(415551, 4573939)",41.31249690976292,1.991095068708633
19,Circular txapa pintada gris 60 L.,415613,4573872,"(415613, 4573872)",41.31189997361938,1.9918449649071575
20,Circular txapa pintada gris 60 L.,415710,4573786,"(415710, 4573786)",41.311135570037855,1.9930155533008724
21,Circular txapa pintada gris 60 L.,415790,4573732,"(415790, 4573732)",41.31065758300851,1.9939786225559593
22,Circular txapa pintada gris 60 L.,415823,4573748,"(415823, 4573748)",41.31080512943408,1.994370586815344
23,Circular txapa pintada gris 60 L.,415812,4573749,"(415812, 4573749)",41.31081298772347,1.9942390551302918
